Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin %,Sales Category,Profit Status
First Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Binders,137.24,5,0.2,46.3185,33.75,Low Sales,Profit
First Class,Corporate,United States,San Francisco,California,94122,West,Technology,Accessories,36.51,1,0,15.6993,43,Low Sales,Profit
First Class,Corporate,United States,San Francisco,California,94122,West,Technology,Machines,239.976,3,0.2,80.9919,33.75,Low Sales,Profit
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1579.746,7,0.4,-447.5947,-28.33333333,High Sales,Loss
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1071.576,4,0.4,-553.6476,-51.66666667,High Sales,Loss
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,613.908,3,0.4,-122.7816,-20,High Sales,Loss
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Paper,34.86,7,0,16.3842,47,Low Sales,Profit
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Paper,155.04,4,0,75.9696,49,Low Sales,Profit
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,13.71,5,0.7,-10.054,-73.33333333,Low Sales,Loss
Standard Class,Home Office,United States,Waynesboro,Virginia,22980,South,Furniture,Furnishings,127.88,2,0,40.9216,32,Low Sales,Profit
Standard Class,Home Office,United States,Waynesboro,Virginia,22980,South,Office Supplies,Appliances,160.32,2,0,44.8896,28,Low Sales,Profit
Standard Class,Home Office,United States,Waynesboro,Virginia,22980,South,Office Supplies,Binders,46,4,0,20.7,45,Low Sales,Profit
Second Class,Consumer,United States,Sacramento,California,95823,West,Furniture,Chairs,120.712,1,0.2,-18.1068,-15,Low Sales,Loss
First Class,Consumer,United States,Clinton,Maryland,20735,East,Office Supplies,Paper,23.12,4,0,11.3288,49,Low Sales,Profit
Standard Class,Corporate,United States,Fairfield,Ohio,45014,East,Furniture,Furnishings,532.704,6,0.2,-26.6352,-5,High Sales,Loss
Standard Class,Corporate,United States,Fairfield,Ohio,45014,East,Office Supplies,Art,4.912,2,0.2,0.307,6.25,Low Sales,Profit
Second Class,Corporate,United States,Warwick,Rhode Island,2886,East,Technology,Accessories,252,4,0,93.24,37,Low Sales,Profit
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,60.288,8,0.6,-27.1296,-45,Low Sales,Loss
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Office Supplies,Fasteners,2.632,1,0.2,0.8225,31.25,Low Sales,Profit
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Office Supplies,Paper,23.688,9,0.2,7.6986,32.5,Low Sales,Profit
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Chairs,253.372,2,0.3,-14.4784,-5.714285714,Low Sales,Loss
Standard Class,Consumer,United States,Smyrna,Georgia,30080,South,Office Supplies,Fasteners,5.67,3,0,0.1134,2,Low Sales,Profit
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,76.776,4,0.7,-58.8616,-76.66666667,Low Sales,Loss
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Supplies,9.184,2,0.2,1.148,12.5,Low Sales,Profit
Standard Class,Home Office,United States,Thousand Oaks,California,91360,West,Office Supplies,Paper,32.75,5,0,15.065,46,Low Sales,Profit
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Fasteners,7.216,2,0.2,1.7138,23.75,Low Sales,Profit
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Paper,49.568,2,0.2,15.49,31.25,Low Sales,Profit
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Furniture,Furnishings,54.712,7,0.2,11.6263,21.25,Low Sales,Profit
First Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Appliances,176.04,4,0,45.7704,26,Low Sales,Profit
First Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Art,16.02,9,0,4.4856,28,Low Sales,Profit
First Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Binders,185.92,4,0.2,62.748,33.75,Low Sales,Profit
First Class,Consumer,United States,Fresno,California,93727,West,Technology,Phones,211.168,4,0.2,15.8376,7.5,Low Sales,Profit
First Class,Consumer,United States,Fresno,California,93727,West,Technology,Copiers,479.984,2,0.2,59.998,12.5,Low Sales,Profit
First Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Fasteners,7.86,2,0,3.6156,46,Low Sales,Profit
First Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Binders,24.448,2,0.2,8.8624,36.25,Low Sales,Profit
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,6.48,1,0,3.1104,48,Low Sales,Profit
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,41.86,7,0,20.5114,49,Low Sales,Profit
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,1619.91,9,0,97.1946,6,High Sales,Profit
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Furnishings,113.92,4,0,42.1504,37,Low Sales,Profit
Standard Class,Consumer,United States,Malden,Massachusetts,2148,East,Office Supplies,Art,39.68,2,0,10.3168,26,Low Sales,Profit
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,37.6,2,0,2.256,6,Low Sales,Profit
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,59.9,2,0,23.96,40,Low Sales,Profit
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,37,5,0,16.65,45,Low Sales,Profit
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Labels,5.76,2,0,2.8224,49,Low Sales,Profit
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,16.68,6,0,4.3368,26,Low Sales,Profit
Standard Class,Corporate,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,628.81,7,0,12.5762,2,High Sales,Profit
Standard Class,Corporate,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,56.45,5,0,14.677,26,Low Sales,Profit
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,94.2,6,0,23.55,25,Low Sales,Profit
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Envelopes,28.4,5,0,13.348,47,Low Sales,Profit
Standard Class,Corporate,United States,Huntsville,Texas,77340,Central,Furniture,Bookcases,956.6648,7,0.32,-225.0976,-23.52941176,High Sales,Loss
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Accessories,1115.91,9,0,200.8638,18,High Sales,Profit
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,128.744,7,0.2,-28.9674,-22.5,Low Sales,Loss
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,79.92,10,0.2,26.973,33.75,Low Sales,Profit
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,24.2,5,0,7.986,33,Low Sales,Profit
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Phones,359.976,3,0.2,130.4913,36.25,Low Sales,Profit
First Class,Home Office,United States,San Francisco,California,94122,West,Furniture,Furnishings,211.84,8,0,76.2624,36,Low Sales,Profit
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Fasteners,5.68,2,0.2,1.917,33.75,Low Sales,Profit
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Binders,7.52,5,0.2,2.632,35,Low Sales,Profit
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,11.96,2,0,5.8604,49,Low Sales,Profit
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Tables,629.064,3,0.2,31.4532,5,High Sales,Profit
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,754.45,5,0,60.356,8,High Sales,Profit
Standard Class,Home Office,United States,Holyoke,Massachusetts,1040,East,Furniture,Bookcases,301.96,2,0,60.392,20,Low Sales,Profit
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Technology,Accessories,595,5,0,95.2,16,High Sales,Profit
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Binders,79.872,3,0.2,29.952,37.5,Low Sales,Profit
Standard Class,Corporate,United States,Sparks,Nevada,89431,West,Technology,Machines,2396.4,10,0.2,179.73,7.5,High Sales,Profit
Standard Class,Corporate,United States,Coachella,California,92236,West,Office Supplies,Storage,63.56,2,0,3.178,5,Low Sales,Profit
Standard Class,Corporate,United States,Coachella,California,92236,West,Technology,Accessories,99.99,1,0,43.9956,44,Low Sales,Profit
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,-21.25,Low Sales,Loss
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,Paper,9.664,2,0.2,3.2616,33.75,Low Sales,Profit
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Technology,Accessories,158.928,7,0.2,41.7186,26.25,Low Sales,Profit
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Binders,13.023,1,0.7,-10.4184,-80,Low Sales,Loss
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Furniture,Tables,273.06,2,0.4,-104.673,-38.33333333,Low Sales,Loss
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Fasteners,39.312,13,0.2,12.7764,32.5,Low Sales,Profit
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,1.344,4,0.8,-2.1504,-160,Low Sales,Loss
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,8.272,4,0.8,-13.6488,-165,Low Sales,Loss
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Furnishings,12.544,7,0.6,-9.0944,-72.5,Low Sales,Loss
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Labels,58.48,8,0,27.4856,47,Low Sales,Profit
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Furniture,Furnishings,7.4,2,0,3.034,41,Low Sales,Profit
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,366.786,7,0.1,65.2064,17.77777778,Low Sales,Profit
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Phones,54.368,4,0.2,4.0776,7.5,Low Sales,Profit
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Envelopes,33.96,2,0,16.98,50,Low Sales,Profit
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Appliances,826.11,3,0,322.1829,39,High Sales,Profit
Standard Class,Consumer,United States,Farmington,New Mexico,87401,West,Furniture,Furnishings,545.85,9,0,114.6285,21,High Sales,Profit
Second Class,Consumer,United States,Louisville,Colorado,80027,West,Furniture,Tables,145.98,2,0.5,-99.2664,-68,Low Sales,Loss
Second Class,Consumer,United States,Louisville,Colorado,80027,West,Office Supplies,Paper,35.808,4,0.2,12.5328,35,Low Sales,Profit
Standard Class,Consumer,United States,Tampa,Florida,33614,South,Furniture,Furnishings,7.904,2,0.2,2.1736,27.5,Low Sales,Profit
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,345,5,0,86.25,25,Low Sales,Profit
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Furniture,Tables,174.286,2,0.3,-19.9184,-11.42857143,Low Sales,Loss
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Appliances,662.84,4,0,172.3384,26,High Sales,Profit
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Accessories,95.1,5,0,30.432,32,Low Sales,Profit
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Envelopes,26.88,6,0,12.9024,48,Low Sales,Profit
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,257.98,2,0,74.8142,29,Low Sales,Profit
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Envelopes,17.48,2,0,8.2156,47,Low Sales,Profit
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,492.835,5,0.3,-14.081,-2.857142857,Low Sales,Loss
Second Class,Consumer,United States,North Charleston,South Carolina,29406,South,Office Supplies,Storage,269.49,3,0,5.3898,2,Low Sales,Profit
Standard Class,Home Office,United States,San Jose,California,95123,West,Office Supplies,Binders,29.12,5,0.2,9.828,33.75,Low Sales,Profit
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,18.75,5,0,9,48,Low Sales,Profit
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,119.7,6,0,31.122,26,Low Sales,Profit
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,9.144,3,0.2,3.0861,33.75,Low Sales,Profit
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,57.06,3,0,18.2592,32,Low Sales,Profit
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,71.6,8,0,13.604,19,Low Sales,Profit
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,107.44,8,0,27.9344,26,Low Sales,Profit
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,7.31,1,0,3.4357,47,Low Sales,Profit
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,59.1,6,0,22.458,38,Low Sales,Profit
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,46.53,3,0,12.0978,26,Low Sales,Profit
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Appliances,97.84,2,0,25.4384,26,Low Sales,Profit
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Paper,29.97,3,0,13.4865,45,Low Sales,Profit
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,98.352,3,0.2,34.4232,35,Low Sales,Profit
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,83.92,5,0.2,29.372,35,Low Sales,Profit
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,14.624,2,0.2,5.1184,35,Low Sales,Profit
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Phones,136.99,1,0,36.9873,27,Low Sales,Profit
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,3.15,1,0,1.512,48,Low Sales,Profit
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Paper,9.11,1,0,4.0995,45,Low Sales,Profit
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Storage,571.44,4,0,165.7176,29,High Sales,Profit
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Paper,32.4,5,0,15.552,48,Low Sales,Profit
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Storage,16.91,1,0,4.5657,27,Low Sales,Profit
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Furnishings,14.272,8,0.2,4.2816,30,Low Sales,Profit
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Bookcases,451.136,4,0.2,-67.6704,-15,Low Sales,Loss
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Appliances,64.864,4,0.2,6.4864,10,Low Sales,Profit
First Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Chairs,217.584,2,0.2,-29.9178,-13.75,Low Sales,Loss
First Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Accessories,82.95,5,0,29.0325,35,Low Sales,Profit
First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Labels,87.71,7,0,41.2237,47,Low Sales,Profit
First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,1101.48,4,0,429.5772,39,High Sales,Profit
Second Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Tables,1322.352,3,0.2,-99.1764,-7.5,High Sales,Loss
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,5.46,3,0,1.4742,27,Low Sales,Profit
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Supplies,11.184,1,0.2,0.8388,7.5,Low Sales,Profit
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Storage,153.584,2,0.2,-32.6366,-21.25,Low Sales,Loss
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Storage,1003.62,6,0,0,0,High Sales,Loss
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Technology,Phones,35.168,4,0.2,11.4296,32.5,Low Sales,Profit
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Furniture,Tables,1137.75,5,0,250.305,22,High Sales,Profit
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Binders,99.68,5,0.2,32.396,32.5,Low Sales,Profit
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,5.56,2,0,1.4456,26,Low Sales,Profit
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,85.52,2,0,22.2352,26,Low Sales,Profit
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Art,9.84,3,0,2.6568,27,Low Sales,Profit
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Paper,20.04,3,0,9.6192,48,Low Sales,Profit
Second Class,Consumer,United States,New York City,New York,10024,East,Technology,Phones,631.96,4,0,303.3408,48,High Sales,Profit
Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,23.92,4,0,10.764,45,Low Sales,Profit
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Paper,90.24,6,0,41.5104,46,Low Sales,Profit
Standard Class,Consumer,United States,Jamestown,New York,14701,East,Technology,Phones,4548.81,7,0,1228.1787,27,High Sales,Profit
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Tables,300.93,5,0.3,-34.392,-11.42857143,Low Sales,Loss
Second Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,719.96,5,0.2,53.997,7.5,High Sales,Profit
Standard Class,Consumer,United States,Mishawaka,Indiana,46544,Central,Furniture,Chairs,647.84,8,0,32.392,5,High Sales,Profit
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Storage,64.17,3,0,18.6093,29,Low Sales,Profit
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Envelopes,124.46,2,0,58.4962,47,Low Sales,Profit
Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Binders,9.584,1,0.2,3.3544,35,Low Sales,Profit
First Class,Consumer,United States,Miami,Florida,33178,South,Office Supplies,Envelopes,37.608,3,0.2,12.6927,33.75,Low Sales,Profit
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Paper,12.224,2,0.2,4.4312,36.25,Low Sales,Profit
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Binders,2.304,4,0.8,-3.5712,-155,Low Sales,Loss
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Binders,9.36,4,0.8,-16.38,-175,Low Sales,Loss
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Labels,7.38,2,0,3.4686,47,Low Sales,Profit
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,53.72,4,0,15.0416,28,Low Sales,Profit
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Supplies,8187.65,5,0,327.506,4,High Sales,Profit
Second Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,77.92,8,0,34.2848,44,Low Sales,Profit
Same Day,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,32.784,4,0.8,-85.2384,-260,Low Sales,Loss
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Technology,Phones,196.776,3,0.2,14.7582,7.5,Low Sales,Profit
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Technology,Accessories,479.94,6,0,52.7934,11,Low Sales,Profit
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Storage,1117.92,4,0,55.896,5,High Sales,Profit
First Class,Consumer,United States,Monroe,Louisiana,71203,South,Technology,Accessories,106.5,6,0,41.535,39,Low Sales,Profit
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,Binders,45.66,5,0.7,-33.484,-73.33333333,Low Sales,Loss
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Accessories,95.968,4,0.2,1.1996,1.25,Low Sales,Profit
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,47.992,2,0.3,-2.0568,-4.285714286,Low Sales,Loss
Standard Class,Consumer,United States,Bowling Green,Ohio,43402,East,Office Supplies,Storage,264.32,2,0.2,19.824,7.5,Low Sales,Profit
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Envelopes,604.656,9,0.2,204.0714,33.75,High Sales,Profit
Standard Class,Corporate,United States,Westfield,New Jersey,7090,East,Furniture,Furnishings,129.93,3,0,12.993,10,Low Sales,Profit
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Labels,20.16,7,0,9.8784,49,Low Sales,Profit
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Labels,29.46,6,0,14.4354,49,Low Sales,Profit
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Appliances,868.59,3,0,251.8911,29,High Sales,Profit
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Paper,12.96,2,0,6.2208,48,Low Sales,Profit
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Technology,Phones,5.5,1,0,1.375,25,Low Sales,Profit
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Binders,121.6,4,0,55.936,46,Low Sales,Profit
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Art,42.048,9,0.2,5.256,12.5,Low Sales,Profit
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,25.488,2,0.2,4.4604,17.5,Low Sales,Profit
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,6.9,3,0.8,-12.075,-175,Low Sales,Loss
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,9.648,6,0.8,-16.884,-175,Low Sales,Loss
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Paper,7.968,2,0.2,2.8884,36.25,Low Sales,Profit
Standard Class,Home Office,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Paper,10.368,2,0.2,3.6288,35,Low Sales,Profit
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,Paper,114.2,5,0,52.532,46,Low Sales,Profit
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,Binders,17.96,4,0,8.2616,46,Low Sales,Profit
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,Fasteners,12.67,7,0,4.5612,36,Low Sales,Profit
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Technology,Accessories,339.96,4,0,122.3856,36,Low Sales,Profit
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,1801.632,6,0.2,-337.806,-18.75,High Sales,Loss
First Class,Corporate,United States,La Quinta,California,92253,West,Technology,Accessories,46.32,4,0,18.0648,39,Low Sales,Profit
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Furniture,Chairs,181.986,2,0.3,-54.5958,-30,Low Sales,Loss
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Technology,Phones,431.976,4,0.4,-100.7944,-23.33333333,Low Sales,Loss
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Technology,Phones,155.37,1,0.4,-36.253,-23.33333333,Low Sales,Loss
Same Day,Corporate,United States,San Francisco,California,94122,West,Furniture,Chairs,1348.704,6,0.2,-219.1644,-16.25,High Sales,Loss
Same Day,Corporate,United States,San Francisco,California,94122,West,Furniture,Chairs,700.152,3,0.2,78.7671,11.25,High Sales,Profit
Standard Class,Corporate,United States,Scottsdale,Arizona,85254,West,Furniture,Furnishings,111.888,7,0.2,22.3776,20,Low Sales,Profit
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,143.952,3,0.2,14.3952,10,Low Sales,Profit
Standard Class,Home Office,United States,Malden,Massachusetts,2148,East,Furniture,Bookcases,173.94,3,0,13.9152,8,Low Sales,Profit
Standard Class,Home Office,United States,Malden,Massachusetts,2148,East,Office Supplies,Labels,14.76,4,0,6.9372,47,Low Sales,Profit
Standard Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Storage,205.92,4,0,2.0592,1,Low Sales,Profit
Standard Class,Consumer,United States,San Jose,California,95123,West,Furniture,Bookcases,102.833,1,0.15,-6.049,-5.882352941,Low Sales,Loss
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Art,2.304,1,0.2,0.2592,11.25,Low Sales,Profit
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Technology,Phones,1879.96,5,0.2,211.4955,11.25,High Sales,Profit
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Paper,313.024,8,0.2,105.6456,33.75,Low Sales,Profit
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Labels,5.04,2,0.2,1.764,35,Low Sales,Profit
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,821.88,6,0,213.6888,26,High Sales,Profit
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,21.96,2,0,10.7604,49,Low Sales,Profit
Standard Class,Home Office,United States,Columbia,South Carolina,29203,South,Office Supplies,Paper,25.92,4,0,12.4416,48,Low Sales,Profit
Standard Class,Consumer,United States,Tallahassee,Florida,32303,South,Technology,Phones,705.544,7,0.2,70.5544,10,High Sales,Profit
Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,50,2,0,12,24,Low Sales,Profit
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,Furnishings,51.712,8,0.6,-32.32,-62.5,Low Sales,Loss
Standard Class,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,Appliances,6.992,2,0.2,0.5244,7.5,Low Sales,Profit
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Bookcases,1406.86,7,0,140.686,10,High Sales,Profit
Standard Class,Consumer,United States,Orem,Utah,84057,West,Office Supplies,Labels,15.75,5,0,7.56,48,Low Sales,Profit
Standard Class,Consumer,United States,Orem,Utah,84057,West,Office Supplies,Storage,323.1,2,0,61.389,19,Low Sales,Profit
Standard Class,Consumer,United States,Nashville,Tennessee,37211,South,Office Supplies,Labels,9.216,4,0.2,3.3408,36.25,Low Sales,Profit
Standard Class,Consumer,United States,Nashville,Tennessee,37211,South,Office Supplies,Paper,10.368,2,0.2,3.6288,35,Low Sales,Profit
Second Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,15.02,1,0,2.7036,18,Low Sales,Profit
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Storage,33.82,2,0,9.1314,27,Low Sales,Profit
First Class,Consumer,United States,Bowling Green,Kentucky,42104,South,Technology,Accessories,71,4,0,27.69,39,Low Sales,Profit
